City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
197,Cafelandia,BR,-21.8025,-49.61,93.72,29,26,10.02,scattered clouds
198,Maryborough,AU,-25.5333,152.7,54.57,88,0,3.78,clear sky
199,Krasnoye,UA,49.9145,24.6134,78.15,63,96,6.67,overcast clouds
200,Gazojak,TM,41.1875,61.4036,86.61,13,0,7.2,clear sky
201,Hambantota,LK,6.1241,81.1185,82.74,83,0,4.61,clear sky
202,Ambilobe,MG,-13.2,49.05,78.67,62,80,3.58,light rain
203,Abu Samrah,SY,35.3029,37.1841,80.26,36,2,15.82,clear sky
204,Katobu,ID,-4.9408,122.5276,74.5,92,100,3.02,overcast clouds
205,Lobito,AO,-12.3481,13.5456,73.6,76,24,7.56,few clouds
206,Woodward,US,36.4337,-99.3904,74.97,71,1,14.97,clear sky
207,Lata,PT,40.1629,-8.3327,82.35,51,12,8.46,few clouds
208,Chuguyevka,RU,44.1653,133.8633,54.21,98,100,3.91,moderate rain
209,Sydney,AU,-33.8679,151.2073,52.23,91,87,1.01,overcast clouds
210,Iqaluit,CA,63.7506,-68.5145,38.93,75,90,8.05,overcast clouds
211,Porbandar,IN,21.6422,69.6093,81.21,90,100,12.37,overcast clouds
212,Jumla,NP,29.2747,82.1838,59.99,94,100,0.89,moderate rain
213,Hovd,MN,48.0056,91.6419,60.66,29,99,3.78,overcast clouds
214,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.0,77,1,16.11,clear sky
215,Arlit,NE,18.7369,7.3853,105.58,8,4,4.59,clear sky
216,Ocampo,MX,21.65,-101.5,62.31,78,69,4.21,broken clouds
217,Obo,CF,5.3998,26.4869,76.26,81,94,2.75,light rain
218,Gemena,CD,3.25,19.7667,72.37,95,100,3.09,overcast clouds
219,Price,US,39.5994,-110.8107,66.42,35,1,5.75,clear sky
220,Caravelas,BR,-17.7125,-39.2481,82.94,55,23,9.22,few clouds
221,Narsaq,GL,60.9167,-46.05,39.42,63,100,4.32,overcast clouds
222,Maldonado,UY,-34.6667,-54.9167,67.39,49,0,8.32,clear sky
223,Kahului,US,20.8947,-156.47,74.46,82,1,3.44,clear sky
224,Eureka,US,40.8021,-124.1637,43.99,89,4,1.03,clear sky
225,Toora-Khem,RU,52.4675,96.11,47.57,68,73,1.03,broken clouds
226,Hofn,IS,64.2539,-15.2082,53.62,94,90,13.8,overcast clouds
227,Anadyr,RU,64.75,177.4833,39.7,93,75,4.47,light intensity shower rain
228,Conakry,GN,9.538,-13.6773,81.16,72,68,7.96,light rain
229,Daru,PG,-9.0763,143.2092,76.14,75,93,17.38,overcast clouds
230,Nanortalik,GL,60.1432,-45.2371,37.78,79,100,4.47,overcast clouds
231,Annau,TM,37.8876,58.516,94.5,13,0,13.8,clear sky
232,Rizhao,CN,35.4275,119.4553,69.37,85,0,4.27,light rain
233,Saskylakh,RU,71.9167,114.0833,35.19,96,100,19.24,light rain
234,Beloha,MG,-25.1667,45.05,75.02,47,0,10.0,clear sky
235,Abu Dhabi,AE,24.4667,54.3667,98.71,56,0,11.5,clear sky
236,Rodrigues Alves,BR,-7.738,-72.6509,79.0,49,61,1.39,broken clouds
237,Orocue,CO,4.7912,-71.3354,79.92,77,95,9.31,overcast clouds
238,Atar,MR,20.5169,-13.0499,103.71,15,5,4.0,clear sky
239,Avera,US,33.194,-82.5271,73.27,95,100,9.13,overcast clouds
240,Andenes,NO,69.3143,16.1194,49.98,66,0,11.5,clear sky
241,Sobolevo,RU,54.4299,31.8996,52.47,57,41,2.48,scattered clouds
242,Maragogi,BR,-9.0122,-35.2225,81.91,66,32,12.17,scattered clouds
243,Veraval,IN,20.9,70.3667,80.26,87,100,13.85,overcast clouds
244,Huejuquilla El Alto,MX,22.6,-103.8667,66.65,73,62,3.96,broken clouds
245,Novikovo,RU,51.1537,37.8879,58.84,36,0,6.17,clear sky
246,Cabo San Lucas,MX,22.8909,-109.9124,83.52,82,71,6.33,broken clouds
247,Sao Felix Do Xingu,BR,-6.6447,-51.995,100.36,27,8,3.51,clear sky
248,Harper,LR,4.375,-7.7169,80.08,80,95,11.83,light rain
249,Srednekolymsk,RU,67.45,153.6833,36.59,72,100,5.75,overcast clouds
250,Dakar,SN,14.6937,-17.4441,93.33,55,0,4.61,clear sky
251,Egvekinot,RU,66.3167,-179.1667,29.07,86,100,2.62,overcast clouds
252,Porto Belo,BR,-27.1578,-48.5531,64.38,90,100,5.3,light rain
253,Aksha,RU,50.2814,113.2867,49.3,71,34,2.82,scattered clouds
254,Stephenville,US,32.2207,-98.2023,78.76,70,1,0.0,clear sky
255,Balele,PH,14.0653,121.0936,79.29,95,100,2.21,light rain
256,Port Hardy,CA,50.6996,-127.4199,46.4,93,40,2.3,scattered clouds
257,San Quintin,MX,30.4833,-115.95,68.23,79,1,10.8,clear sky
258,Tamasane,BW,-22.4184,27.4013,92.53,9,5,7.02,clear sky
259,Hasaki,JP,35.7333,140.8333,68.4,64,100,11.63,overcast clouds
260,Zhaotong,CN,27.3167,103.7167,59.56,98,100,5.75,light rain
261,Sarangani,PH,5.4033,125.4636,81.54,79,98,18.19,overcast clouds
262,Rio Grande,BR,-32.035,-52.0986,64.94,57,0,2.77,clear sky
